S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0     1     0  0  80   0   680  3093 -      ?        00:00:00 init
S     0     2     0  0  80   0     0     0 -      ?        00:00:00 kthreadd
S     0     3     2  0  80   0     0     0 -      ?        00:00:02 ksoftirqd/0
S     0     5     2  0  60 -20     0     0 -      ?        00:00:00 kworker/0:0H
S     0     7     2  0  80   0     0     0 -      ?        00:01:32 rcu_preempt
S     0     8     2  0  80   0     0     0 -      ?        00:00:01 rcu_sched
S     0     9     2  0  80   0     0     0 -      ?        00:00:00 rcu_bh
S     0    10     2  0 -40   -     0     0 -      ?        00:00:00 migration/0
S     0    11     2  0 -40   -     0     0 -      ?        00:00:00 watchdog/0
S     0    12     2  0 -40   -     0     0 -      ?        00:00:00 watchdog/1
S     0    13     2  0 -40   -     0     0 -      ?        00:00:00 migration/1
S     0    14     2  0  80   0     0     0 -      ?        00:00:01 ksoftirqd/1
S     0    16     2  0  60 -20     0     0 -      ?        00:00:00 kworker/1:0H
S     0    17     2  0  80   0     0     0 -      ?        00:00:00 kdevtmpfs
S     0    18     2  0  60 -20     0     0 -      ?        00:00:00 netns
S     0    19     2  0  60 -20     0     0 -      ?        00:00:00 perf
S     0    20     2  0  80   0     0     0 -      ?        00:00:00 khungtaskd
S     0    21     2  0  80   0     0     0 -      ?        00:00:00 oom_reaper
S     0    22     2  0  60 -20     0     0 -      ?        00:00:00 writeback
S     0    23     2  0  99  19     0     0 -      ?        00:00:24 khugepaged
S     0    24     2  0  60 -20     0     0 -      ?        00:00:00 crypto
S     0    25     2  0  60 -20     0     0 -      ?        00:00:00 kintegrityd
S     0    26     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    27     2  0  60 -20     0     0 -      ?        00:00:00 kblockd
S     0    28     2  0  60 -20     0     0 -      ?        00:00:00 ata_sff
S     0    30     2  0 -40   -     0     0 -      ?        00:00:00 cfinteractive
S     0    34     2  0  80   0     0     0 -      ?        00:02:18 kswapd0
S     0    35     2  0  60 -20     0     0 -      ?        00:00:00 vmstat
S     0    36     2  0  80   0     0     0 -      ?        00:00:00 fsnotify_mark
S     0    37     2  0  80   0     0     0 -      ?        00:00:03 ecryptfs-kthrea
S     0    65     2  0  60 -20     0     0 -      ?        00:00:00 acpi_thermal_pm
S     0    67     2  0  58   -     0     0 -      ?        00:00:45 i915/signal:0
S     0    68     2  0  58   -     0     0 -      ?        00:00:00 i915/signal:1
S     0    69     2  0  58   -     0     0 -      ?        00:00:00 i915/signal:2
S     0    70     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    71     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    72     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    73     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    74     2  0  60 -20     0     0 -      ?        00:00:00 bioset
S     0    75     2  0  60 -20     0     0 -      ?        00:00:00 bioset
